name,institution,main panel,sub-panel,role,name and institution
Professor Aziz Sheikh,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Aziz Sheikh University of Edinburgh
Professor Brian Walker,Newcastle University,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Brian Walker Newcastle University
Professor Chris Griffiths,University of Manchester,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Chris Griffiths University of Manchester
Professor Cyrus Cooper*,University of Southampton,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Cyrus Cooper* University of Southampton
Professor David Adams,University of Birmingham,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor David Adams University of Birmingham
Professor David Jones,Newcastle University,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor David Jones Newcastle University
Professor David Menon,University of Cambridge,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor David Menon University of Cambridge
Professor Diana Eccles,University of Southampton,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Diana Eccles University of Southampton
Professor Fiona Gilbert,University of Cambridge,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Fiona Gilbert University of Cambridge
Professor Frank Sullivan,University of St Andrews,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Frank Sullivan University of St Andrews
Professor Gavin Screaton,University of Oxford,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Gavin Screaton University of Oxford
Professor Gerard Graham,University of Glasgow,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Gerard Graham University of Glasgow
Professor Helen Cross,University College London ,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Helen Cross University College London 
Professor Hugh Watkins,University of Oxford,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Hugh Watkins University of Oxford
Professor Ian Hall,University of Nottingham,Main Panel A,Sub-panel 1: Clinical Medicine,Deputy Chair,Professor Ian Hall University of Nottingham
Professor Jane Norman,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Jane Norman University of Edinburgh
Professor Jonathan Weber,Imperial College London,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Jonathan Weber Imperial College London
Professor Manuel Salto-Tellez,Queen's University Belfast,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Manuel Salto-Tellez Queen's University Belfast
Professor Maria Zambon,Public Health England,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Maria Zambon Public Health England
Professor Mark Caulfield,"Queen Mary, University of London",Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,"Professor Mark Caulfield Queen Mary, University of London"
Professor Mark Hull,University of Leeds,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Mark Hull University of Leeds
Professor Metin Avkiran,British Heart Foundation,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Metin Avkiran British Heart Foundation
Professor Moira Whyte,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Chair,Professor Moira Whyte University of Edinburgh
Professor Munir Pirmohamed,University of Liverpool,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Munir Pirmohamed University of Liverpool
Professor Paul Morgan,Cardiff University,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Paul Morgan Cardiff University
Professor Paul Moss,University of Birmingham,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Paul Moss University of Birmingham
Professor Stephen Renshaw,University of Sheffield,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Stephen Renshaw University of Sheffield
Ms Jo Lakey,Brunel University London,Main Panel A,Sub-panel 2 Secretariat,Members,Ms Jo Lakey Brunel University London
Professor Alan Silman,University of Oxford,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Alan Silman University of Oxford
Professor Deborah Ashby,Imperial College London ,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Deborah Ashby Imperial College London 
Professor Douglas Easton,University of Cambridge,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Douglas Easton University of Cambridge
Professor Olivia Wu,University of Glasgow,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Olivia Wu University of Glasgow
Professor Paula Williamson,University of Liverpool,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Paula Williamson University of Liverpool
Professor Tony Avery,University of Nottingham,Main Panel A,Sub-panel 2 Secretariat,Additional assessment phase members,Professor Tony Avery University of Nottingham
Mr Simon Denegri,National Institute for Health Research,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Mr Simon Denegri National Institute for Health Research
Professor Frank Kee*,Queen's University Belfast,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Deputy Chair,Professor Frank Kee* Queen's University Belfast
Professor Harry Campbell,University of Edinburgh,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Harry Campbell University of Edinburgh
Professor Kate Hunt,University of Stirling,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Kate Hunt University of Stirling
Professor Marion Campbell,University of Aberdeen,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Marion Campbell University of Aberdeen
Professor Paul Elliott,Imperial College London,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Chair,Professor Paul Elliott Imperial College London
Professor Paul Little,University of Southampton,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Paul Little University of Southampton
Professor Tim Peters,University of Bristol,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Tim Peters University of Bristol
Professor Trish Greenhalgh,University of Oxford,Main Panel A,"Sub-panel 2: Public Health, Health Services and Primary Care",Members,Professor Trish Greenhalgh University of Oxford
Dr David Reynolds,Alzheimer’s Research UK,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Dr David Reynolds Alzheimer’s Research UK
Dr Julie Woodley,"University of the West of England, Bristol",Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,"Dr Julie Woodley University of the West of England, Bristol"
Dr Karen Roberts,Macmillan Cancer Support,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Dr Karen Roberts Macmillan Cancer Support
Dr Simon Hackett,Tyne & Wear NHS Trust,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Dr Simon Hackett Tyne & Wear NHS Trust
Professor Aedin Cassidy,University of East Anglia,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Aedin Cassidy University of East Anglia
Professor Afzal Mohammed,Aston University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Afzal Mohammed Aston University
Professor Allan Young,King's College London ,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Allan Young King's College London 
Professor Andrew Blamire,Newcastle University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Andrew Blamire Newcastle University
Professor Angus Walls,University of Edinburgh,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Angus Walls University of Edinburgh
Professor Brendan Gough,Leeds Beckett University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Brendan Gough Leeds Beckett University
Professor Carmel Hughes,Queen's University Belfast,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Carmel Hughes Queen's University Belfast
Professor Catherine Abbott,University of Edinburgh,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Catherine Abbott University of Edinburgh
Professor Charlotte Clarke,University of Edinburgh,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Charlotte Clarke University of Edinburgh
Professor Christopher Nester,University of Salford,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Christopher Nester University of Salford
Professor Courtenay Norbury,University College London,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Courtenay Norbury University College London
Professor Dame Jessica,Corner University of Nottingham,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Dame Jessica Corner University of Nottingham
Professor Daryl O'Connor,University of Leeds,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Daryl O'Connor University of Leeds
Professor David Whitaker,Cardiff University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor David Whitaker Cardiff University
Professor Des Tobin,University of Bradford,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Des Tobin University of Bradford
Professor Doreen McClurg,Glasgow Caledonian University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Doreen McClurg Glasgow Caledonian University
Professor Elizabeth Meins,University of York,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Elizabeth Meins University of York
Professor Helen Cassaday,University of Nottingham,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Helen Cassaday University of Nottingham
Professor Hugh McKenna,Ulster University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Chair,Professor Hugh McKenna Ulster University
Professor James Deuchars,University of Leeds,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor James Deuchars University of Leeds
Professor Jane Ireland,,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Jane Ireland
Professor Jayne Lawrence,University of Manchester,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Jayne Lawrence University of Manchester
Professor Jeremy Hall,Cardiff University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Deputy Chair,Professor Jeremy Hall Cardiff University
Professor Jill Macleod,Clarke University of Southampton,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Jill Macleod Clarke University of Southampton
Professor Jo Rycroft-Malone,Lancaster University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Jo Rycroft-Malone Lancaster University
Professor Joanna Adams,University of Southampton,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Joanna Adams University of Southampton
Professor Julie Jomeen,University of Hull,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Julie Jomeen University of Hull
Professor Julie Taylor,University of Birmingham,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Julie Taylor University of Birmingham
Professor Julius Sim,Keele University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Julius Sim Keele University
Professor Kader Parahoo*,Ulster University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Kader Parahoo* Ulster University
Professor Karen Bryan,"University of Greenwich, London",Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,"Professor Karen Bryan University of Greenwich, London"
Professor Kathleen Rastle,"Royal Holloway, University of London",Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,"Professor Kathleen Rastle Royal Holloway, University of London"
Professor Lorna MacPherson,University of Glasgow,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Lorna MacPherson University of Glasgow
Professor Mary Chambers,Kingston University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Mary Chambers Kingston University
Professor Matthew Hotopf,King’s College London,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Matthew Hotopf King’s College London
Professor Matthew Lambon-Ralph,University of Manchester,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Matthew Lambon-Ralph University of Manchester
Professor Mike Burton,University of York,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Mike Burton University of York
Professor Nigel Pitts,King's College London ,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Nigel Pitts King's College London 
Professor Patrick Haggard,University College London,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Patrick Haggard University College London
Professor Priscilla Harries,Brunel University London,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Priscilla Harries Brunel University London
Professor Richard Aspinall,Rivock Ltd,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Richard Aspinall Rivock Ltd
Professor Richard Crisp*,Durham University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Richard Crisp* Durham University
Professor Richard Wade-Martins,University of Oxford,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Richard Wade-Martins University of Oxford
Professor Roger Barker,University of Cambridge,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Roger Barker University of Cambridge
Professor Sallie Lamb*,University of Oxford,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Sallie Lamb* University of Oxford
Professor Shirley Reynolds,University of Reading,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Members,Professor Shirley Reynolds University of Reading
Professor Simon Jackson,University of Plymouth,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Simon Jackson University of Plymouth
Professor Simon Mackay,University of Strathclyde,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Simon Mackay University of Strathclyde
Professor Sue Higham,University of Liverpool,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Sue Higham University of Liverpool
Professor Susan Gathercole,University of Cambridge,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Chair,Professor Susan Gathercole University of Cambridge
Professor Yvonne Barnett*,Nottingham Trent University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Deputy Chair,Professor Yvonne Barnett* Nottingham Trent University
Professor Zeeshan Ahmad,De Montfort University,Main Panel A,"Sub-panel 3: Allied Health Professions, Dentistry, Nursing and Pharmacy",Additional assessment phase members,Professor Zeeshan Ahmad De Montfort University
Dr Natalie Carter,Arthritis Research UK,Main Panel A,Sub-panel 5: Biological Sciences,Members,Dr Natalie Carter Arthritis Research UK
Professor David Hosken*,University of Exeter,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor David Hosken* University of Exeter
Professor Dominique Bonnet,The Francis Crick Institute,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Dominique Bonnet The Francis Crick Institute
Professor Doreen Cantrell,University of Dundee,Main Panel A,Sub-panel 5: Biological Sciences,Chair,Professor Doreen Cantrell University of Dundee
Professor Dorothy Bennett,"St George's, University of London",Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,"Professor Dorothy Bennett St George's, University of London"
Professor Francesca Buffa*,University of Oxford,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Francesca Buffa* University of Oxford
Professor Gail Taylor,University of Southampton,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Gail Taylor University of Southampton
Professor Graeme Milligan,University of Glasgow,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Graeme Milligan University of Glasgow
Professor Ian Henderson,University of Birmingham,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Ian Henderson University of Birmingham
Professor Judith Allen,University of Manchester,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Judith Allen University of Manchester
Professor Julian Dow,University of Glasgow,Main Panel A,Sub-panel 5: Biological Sciences,Deputy Chair,Professor Julian Dow University of Glasgow
Professor Kevin Fox,Cardiff University,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Kevin Fox Cardiff University
Professor Leo Brady*,University of Bristol,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Leo Brady* University of Bristol
Professor Mark Harris,University of Leeds,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Mark Harris University of Leeds
Professor Neil Gow*,University of Aberdeen,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Neil Gow* University of Aberdeen
Professor Pat Heslop-Harrison*,University of Leicester,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Pat Heslop-Harrison* University of Leicester
Professor Paula Booth,King’s College London,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Paula Booth King’s College London
Professor Philip Biggin,University of Oxford,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Philip Biggin University of Oxford
Professor Sonia Rocha,University of Liverpool,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Sonia Rocha University of Liverpool
Professor Stefan Pryzborski,Durham University,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Stefan Pryzborski Durham University
Professor Susan Brain,King’s College London,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Susan Brain King’s College London
Professor Tim Dafforn,University of Birmingham,Main Panel A,Sub-panel 5: Biological Sciences,Additional assessment phase members,Professor Tim Dafforn University of Birmingham
Professor Tracy Hussell,University of Manchester,Main Panel A,Sub-panel 5: Biological Sciences,Members,Professor Tracy Hussell University of Manchester
Dr Bryan Charleston,The Pirbright Institute,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Dr Bryan Charleston The Pirbright Institute
Dr Gina Pinchbeck,University of Liverpool ,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Dr Gina Pinchbeck University of Liverpool 
Mr Mike Roper,Independent,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Mr Mike Roper Independent
Professor Anne-Marie Minihane,University of East Anglia,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Anne-Marie Minihane University of East Anglia
Professor Carol Wagstaff,University of Reading,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Carol Wagstaff University of Reading
Professor Chris Elliott,Queen's University Belfast,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Deputy Chair,Professor Chris Elliott Queen's University Belfast
Professor Eileen Wall,SRUC (Scotland’s Rural College),Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Eileen Wall SRUC (Scotland’s Rural College)
Professor Euan Phimister,University of Aberdeen,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Euan Phimister University of Aberdeen
Professor Gary Williamson,University of Leeds ,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Gary Williamson University of Leeds 
Professor Guy Poppy,Food Standards Agency,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Guy Poppy Food Standards Agency
Professor Linda Wooldridge,University of Bristol,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Linda Wooldridge University of Bristol
Professor Liz Baggs,University of Edinburgh,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Liz Baggs University of Edinburgh
Professor Lynn Frewer*,Newcastle University,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Lynn Frewer* Newcastle University
Professor Massimo Palmarini,University of Glasgow,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Members,Professor Massimo Palmarini University of Glasgow
Professor Michael Gooding,Royal Agricultural University,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Michael Gooding Royal Agricultural University
Professor Peter Clegg,University of Liverpool,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Chair,Professor Peter Clegg University of Liverpool
Professor Richard Mellanby,University of Edinburgh,Main Panel A,"Sub-panel 6: Agriculture, Veterinary and Food Science",Additional assessment phase members,Professor Richard Mellanby University of Edinburgh
Dr David Mela,Independent,Main Panel A,,Members,Dr David Mela Independent
Dr Dermot Kelleher,University of British Columbia,Main Panel A,,Members,Dr Dermot Kelleher University of British Columbia
Dr Ian Viney,Medical Research Council,Main Panel A,,Observers,Dr Ian Viney Medical Research Council
Dr Jack Gauldie,McMaster University,Main Panel A,,Members,Dr Jack Gauldie McMaster University
Dr Jef Grainger,Biotechnology and Biological,Main Panel A,,Observers,Dr Jef Grainger Biotechnology and Biological
Dr Malcolm Skingle,GlaxoSmithKline,Main Panel A,,Members,Dr Malcolm Skingle GlaxoSmithKline
Dr Tony Weir,Heriot-Watt University,Main Panel A,,Secretariat,Dr Tony Weir Heriot-Watt University
Mr Imran Khan,Wellcome Trust,Main Panel A,,Members,Mr Imran Khan Wellcome Trust
Ms Anna Grey,University of York,Main Panel A,,Secretariat,Ms Anna Grey University of York
Professor Anthony Hickey,RTI International,Main Panel A,,Members,Professor Anthony Hickey RTI International
Professor Bernadette Hannigan,Public Health England,Main Panel A,,Members,Professor Bernadette Hannigan Public Health England
Professor Dame Anna,Dominiczak* University of Glasgow,Main Panel A,,Members,Professor Dame Anna Dominiczak* University of Glasgow
Professor David Crossman,Chief Scientist Scottish Government,Main Panel A,,Members,Professor David Crossman Chief Scientist Scottish Government
Professor Garret FitzGerald,University of Pennsylvania,Main Panel A,,Members,Professor Garret FitzGerald University of Pennsylvania
Professor John Iredale,University of Bristol,Main Panel A,,Chair,Professor John Iredale University of Bristol
Professor Peter Morris*,University of Nottingham,Main Panel A,,Members,Professor Peter Morris* University of Nottingham
Professor Richard Oliver,Curtin University,Main Panel A,,Members,Professor Richard Oliver Curtin University
Professor Sir Nilesh,Samani British Heart Foundation,Main Panel A,,Members,Professor Sir Nilesh Samani British Heart Foundation
Dr Philip Jonathan,Shell,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Dr Philip Jonathan Shell
Professor Adam Letchford,Lancaster University,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Professor Adam Letchford Lancaster University
Professor Aleksandar Mijatovic,King's College London,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Aleksandar Mijatovic King's College London
Professor Alison Etheridge,University of Oxford,Main Panel B,Sub-panel 10: Mathematical Sciences,Chair,Professor Alison Etheridge University of Oxford
Professor Andrew Wood,University of Nottingham,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Andrew Wood University of Nottingham
Professor Beatrice Pelloni,Heriot-Watt University,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Beatrice Pelloni Heriot-Watt University
Professor Desmond Higham,University of Strathclyde,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Desmond Higham University of Strathclyde
Professor Eugene Shagorodsky,King's College London,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Eugene Shagorodsky King's College London
Professor Fiona Steele,London School of Economics and,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Fiona Steele London School of Economics and
Professor Grae Worster,University of Cambridge,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Grae Worster University of Cambridge
Professor Guy Nason,University of Bristol,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Professor Guy Nason University of Bristol
Professor Jeanine Houwing-Duistermaat,University of Leeds,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Jeanine Houwing-Duistermaat University of Leeds
Professor John Greenlees,University of Sheffield,Main Panel B,Sub-panel 10: Mathematical Sciences,Deputy Chair,Professor John Greenlees University of Sheffield
Professor John King*,University of Nottingham,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Professor John King* University of Nottingham
Professor Jonathan Pila,University of Oxford,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Jonathan Pila University of Oxford
Professor Mark Haskins,University of Bath,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Mark Haskins University of Bath
Professor Martin Hairer,Imperial College London,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Martin Hairer Imperial College London
Professor Michael Wemyss,University of Glasgow,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Michael Wemyss University of Glasgow
Professor Paul Fearnhead,Lancaster University,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Paul Fearnhead Lancaster University
Professor Paul Harper,Cardiff University,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Paul Harper Cardiff University
Professor Richard Craster,Imperial College London,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Richard Craster Imperial College London
Professor Sarah Zerbes,University College London,Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,Professor Sarah Zerbes University College London
Professor Simon Blackburn,"Royal Holloway, University of London ",Main Panel B,Sub-panel 10: Mathematical Sciences,Additional assessment phase members,"Professor Simon Blackburn Royal Holloway, University of London "
Professor Tara Brendle,University of Glasgow,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Professor Tara Brendle University of Glasgow
Professor William Spence,Queen Mary University London,Main Panel B,Sub-panel 10: Mathematical Sciences,Members,Professor William Spence Queen Mary University London
Dr Andrew Fitzgibbon,Microsoft,Main Panel B,Sub-panel 11: Computer Science and Informatics,Members,Dr Andrew Fitzgibbon Microsoft
Dr Susan Haines,Laboratory,Main Panel B,Sub-panel 11: Computer Science and Informatics,Members,Dr Susan Haines Laboratory
Professor Alan Dix*,Swansea University ,Main Panel B,Sub-panel 11: Computer Science and Informatics,Additional assessment phase members,Professor Alan Dix* Swansea University 
Professor Ann Blandford,University College London,Main Panel B,Sub-panel 11: Computer Science and Informatics,Members,Professor Ann Blandford University College London
Professor Chris Taylor,University of Manchester,Main Panel B,Sub-panel 11: Computer Science and Informatics,Deputy Chair,Professor Chris Taylor University of Manchester
